VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PickupCell,DropoffCell
2,4/12/15 22:53,5/12/15 22:49,4,5.27,-73.992,40.685,1,N,-73.95121765,40.65774918,1,20.5,0.5,0.5,3.27,0.0,0.3,25.07,32:79,42:78
2,4/12/15 22:53,4/12/15 22:58,1,1.3,-73.976,40.788,1,N,-73.95677185,40.7807312,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36,1,26:59:00
1,4/12/15 22:53,4/12/15 23:05,2,2.0,-74.001,40.746,1,N,-73.97828674,40.72948074,1,10.0,0.5,0.5,2.25,0.0,0.3,13.55,24:70,29:70
1,4/12/15 22:53,4/12/15 23:05,1,2.1,-73.997,40.722,1,N,-74.00453186,40.74151993,1,10.0,0.5,0.5,1.3,0.0,0.3,12.6,27:73,1.007638889
1,4/12/15 22:53,4/12/15 23:03,1,2.6,-73.948,40.775,1,N,-73.93867493,40.80501556,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,29:59:00,27:53:00
1,4/12/15 22:53,4/12/15 23:20,1,9.7,-73.95,40.775,1,N,-73.91512299,40.88473511,2,31.0,0.5,0.5,0.0,5.54,0.3,37.84,28:59:00,21:37
2,4/12/15 22:53,4/12/15 23:20,1,7.5,-73.934,40.763,1,N,-73.96018982,40.81578827,1,25.0,0.5,0.5,4.5,0.0,0.3,30.8,32:59:00,22:54
2,4/12/15 22:53,4/12/15 23:04,1,2.76,-73.986,40.722,1,N,-73.97348022,40.74631882,1,12.0,0.5,0.5,2.66,0.0,0.3,15.96,29:72,28:66
2,4/12/15 22:53,4/12/15 23:03,1,2.21,-74.009,40.72,1,N,-73.99610901,40.74868774,1,9.5,0.5,0.5,1.5,0.0,0.3,12.3,25:75,24:69
2,4/12/15 22:53,4/12/15 23:02,5,0.95,-73.978,40.754,1,N,-73.98000336,40.76380157,1,7.5,0.5,0.5,2.2,0.0,0.3,11.0,26:66,25:64
2,4/12/15 22:53,4/12/15 23:15,3,1.9,-73.991,40.771,1,N,-73.98314667,40.76281738,1,14.5,0.5,0.5,3.16,0.0,0.3,18.96,0.961805556,24:65
1,4/12/15 22:53,4/12/15 22:58,1,1.0,-73.989,40.741,1,N,-73.97470093,40.7331543,1,5.5,0.5,0.5,2.0,0.0,0.3,8.8,26:69,29:69
1,4/12/15 22:53,4/12/15 22:58,1,0.8,-74.0,40.738,1,N,-74.00670624,40.74388504,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15,25:71,1.007638889
1,4/12/15 22:53,4/12/15 23:27,1,12.9,-74.004,40.742,1,N,-73.82679749,40.75697327,1,39.0,0.5,0.5,9.15,5.54,0.3,54.99,1.007638889,50:47:00
2,4/12/15 22:53,4/12/15 23:08,1,1.78,-73.962,40.771,1,N,-73.97908783,40.74964523,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,27:61,27:67
2,4/12/15 22:53,4/12/15 22:57,1,0.58,-74.017,40.706,1,N,-74.00970459,40.70471573,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,26:78,27:77
2,4/12/15 22:53,4/12/15 23:02,2,1.23,-73.98,40.755,1,N,-73.99607849,40.75870132,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,26:66,1.004861111
2,4/12/15 22:53,4/12/15 23:00,1,1.4,-73.991,40.686,1,N,-73.98732758,40.67214966,1,7.5,0.5,0.5,2.2,0.0,0.3,11.0,32:78,34:80
2,4/12/15 22:53,4/12/15 23:02,1,2.15,-73.979,40.782,1,N,-73.94970703,40.77656174,1,9.0,0.5,0.5,0.0,0.0,0.3,10.3,1.000694444,28:59:00
2,4/12/15 22:53,4/12/15 23:02,1,1.36,-73.991,40.751,1,N,-73.97409821,40.74287796,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,24:68,28:67
2,4/12/15 22:53,4/12/15 23:03,1,1.54,-73.989,40.722,1,N,-73.98671722,40.73972321,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,28:72,27:69
2,4/12/15 22:53,4/12/15 23:14,1,6.4,-73.955,40.801,1,N,-74.00766754,40.74272919,2,22.0,0.5,0.5,0.0,0.0,0.3,23.3,24:55:00,1.007638889
1,4/12/15 22:53,4/12/15 23:21,1,4.2,0.0,0.0,1,N,0.0,0.0,2,20.0,0.5,0.5,0.0,0.0,0.3,21.3,,
1,4/12/15 22:53,4/12/15 22:57,2,0.5,-73.982,40.769,1,N,-73.98220825,40.77338409,1,4.5,0.5,0.5,0.87,0.0,0.3,6.67,24:64,1.002083333
1,4/12/15 22:53,4/12/15 23:11,1,1.2,-73.989,40.759,1,N,-73.97045898,40.75744629,1,12.0,0.5,0.5,4.0,0.0,0.3,17.3,24:66,27:64
2,4/12/15 22:53,4/12/15 22:58,1,0.92,-74.0,40.734,1,N,-74.00547791,40.74194336,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16,25:72,1.007638889
2,4/12/15 22:53,4/12/15 23:00,2,0.82,-73.999,40.744,1,N,-73.98616028,40.74011993,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,24:70,27:69
2,4/12/15 22:53,4/12/15 23:29,2,4.15,-73.989,40.764,1,N,-73.97776031,40.7256012,1,23.0,0.5,0.5,4.86,0.0,0.3,29.16,1.003472222,30:70
1,4/12/15 22:53,4/12/15 23:06,1,0.8,-73.982,40.725,1,N,-73.98857117,40.71873474,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,29:71,29:73
1,4/12/15 22:53,4/12/15 23:03,2,2.5,-74.008,40.741,1,N,-73.99277496,40.76757431,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56,1.007638889,0.961805556
2,4/12/15 22:53,4/12/15 23:08,1,3.48,-73.977,40.757,1,N,-73.92249298,40.7453804,1,13.5,0.5,0.5,2.96,0.0,0.3,17.76,26:65,36:61
2,4/12/15 22:53,4/12/15 23:25,5,17.43,-73.783,40.649,2,N,-73.98703766,40.74172211,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,70:60,26:69
1,4/12/15 22:53,4/12/15 23:21,2,4.4,-74.005,40.742,1,N,-73.96221161,40.71311951,1,20.5,0.5,0.5,4.35,0.0,0.3,26.15,1.007638889,34:70
1,4/12/15 22:53,4/12/15 23:09,1,2.8,-73.982,40.747,1,N,-73.97586823,40.78811264,1,13.0,0.5,0.5,3.57,0.0,0.3,17.87,26:67,1
1,4/12/15 22:53,4/12/15 23:07,1,3.1,-73.979,40.749,1,N,-74.01028442,40.71157074,1,12.0,0.5,0.5,3.32,0.0,0.3,16.62,27:67,26:76
1,4/12/15 22:53,4/12/15 23:03,1,1.6,-73.994,40.751,1,N,-73.9720459,40.75133896,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15,24:68,28:65
2,4/12/15 22:53,4/12/15 22:59,1,0.9,-73.981,40.741,1,N,-73.99099731,40.73405075,1,6.0,0.5,0.5,1.0,0.0,0.3,8.3,27:68,26:70
