pickup_latitude,pickup_longitude,n
40.759,-73.98,16
40.756,-73.995,26
40.806,-73.966,21
40.75,-73.979,74
40.649,-73.783,63
40.706,-74.005,6
40.704,-74.015,1
40.767,-73.971,18
40.648,-73.785,9
40.737,-74.006,41
40.75,-73.976,48
40.757,-73.974,130
40.789,-73.978,35
40.799,-73.97,10
40.763,-73.983,88
40.721,-73.998,69
40.784,-73.956,21
40.803,-73.938,4
40.778,-73.982,99
40.733,-73.981,48
40.758,-73.97,50
40.729,-73.981,35
40.76,-73.983,41
40.753,-73.89,1
40.76,-73.982,19
40.749,-74.006,21
40.784,-73.98,83
40.759,-73.972,79
40.732,-74.008,11
40.739,-73.999,45
40.753,-73.979,68
40.783,-73.982,13
40.687,-73.979,3
40.724,-73.985,59
40.778,-73.958,20
40.757,-73.991,10
40.784,-73.944,1
40.746,-73.979,22
40.778,-73.989,14
40.774,-73.87,4
40.757,-73.992,11
40.774,-73.98,8
40.813,-73.961,2
40.702,-74.011,8
40.747,-73.891,2
40.745,-73.981,82
40.762,-73.964,21
40.751,-74.002,42
40.74,-73.989,40
40.765,-73.964,64
40.773,-73.966,14
40.706,-74.009,28
40.761,-73.986,44
40.757,-73.975,50
40.776,-73.958,42
40.777,-73.977,9
40.681,-73.994,3
40.703,-74.011,55
40.762,-73.999,10
40.794,-73.94,10
40.726,-74.0,8
40.738,-73.993,25
40.797,-73.947,1
40.69,-73.981,13
40.78,-73.988,11
40.755,-73.971,105
40.702,-73.987,3
40.769,-73.962,9
40.78,-73.951,18
40.717,-74.009,41
40.726,-73.982,2
40.774,-73.95,2
40.724,-74.005,31
40.72,-73.994,43
40.741,-73.995,22
40.73,-73.983,42
40.716,-73.964,1
40.755,-73.99,7
40.722,-73.987,47
40.782,-73.961,4
40.785,-73.981,16
40.735,-73.998,48
40.801,-73.96,10
40.786,-73.97,20
40.737,-74.004,5
40.761,-73.995,29
40.647,-73.782,1
40.784,-73.959,32
40.78,-73.974,8
40.794,-73.963,11
40.776,-73.951,4
40.772,-73.952,21
40.693,-73.969,1
40.743,-73.977,96
40.736,-74.002,19
40.715,-73.959,7
40.725,-73.992,112
40.745,-73.977,22
40.759,-74.0,3
40.728,-73.988,57
40.78,-73.945,10
40.711,-73.951,7
40.785,-73.969,19
40.79,-73.977,30
40.744,-73.977,50
40.762,-73.991,7
40.797,-73.961,8
40.765,-73.989,2
40.717,-74.011,17
40.791,-73.976,20
40.761,-73.994,43
40.76,-73.971,30
40.771,-73.949,6
40.784,-73.983,1
40.709,-74.003,15
40.782,-73.953,5
40.774,-73.956,16
40.772,-73.968,3
40.77,-73.99,8
40.716,-74.013,17
40.851,-73.909,6
40.714,-73.965,2
40.724,-73.948,3
40.754,-73.975,34
40.734,-73.987,52
40.752,-73.985,21
40.64,-74.021,1
40.741,-73.996,7
40.717,-73.998,35
40.76,-73.964,13
40.751,-73.973,13
40.733,-74.005,12
40.756,-73.969,22
40.772,-73.948,1
40.713,-74.004,37
40.804,-73.948,2
40.766,-73.966,19
40.784,-73.95,39
40.806,-73.964,1
40.69,-73.992,4
40.74,-73.998,28
40.738,-73.93,1
40.764,-73.975,23
40.781,-73.972,1
40.805,-73.938,4
40.688,-73.99,2
40.772,-73.919,1
40.726,-73.978,10
40.747,-74.01,2
40.753,-73.981,57
40.747,-73.99,102
40.707,-74.004,50
40.736,-74.005,12
40.771,-73.953,16
40.775,-73.989,6
40.8,-73.959,5
40.71,-74.005,1
40.694,-73.993,6
40.715,-73.96,2
40.796,-73.95,11
40.745,-74.008,14
40.778,-73.974,6
40.701,-73.991,2
40.714,-73.957,3
40.758,-73.965,12
40.751,-73.983,58
40.638,-73.94,1
40.785,-73.983,2
40.717,-73.999,27
40.762,-73.973,42
40.71,-74.007,23
40.803,-73.968,34
40.766,-73.993,1
40.738,-73.991,33
40.776,-73.946,4
40.763,-73.957,11
40.744,-73.981,60
40.802,-73.965,8
40.718,-74.006,11
40.711,-74.011,29
40.747,-73.928,2
40.724,-74.008,15
40.772,-73.958,5
40.728,-73.989,14
40.749,-74.004,17
40.758,-73.98,12
40.705,-74.014,11
40.428,-74.081,1
40.685,-73.991,4
40.707,-74.013,11
40.764,-73.976,57
40.76,-73.959,10
40.739,-74.007,13
40.716,-74.009,75
40.759,-73.991,4
40.719,-74.011,8
40.742,-73.991,23
40.765,-73.995,16
40.723,-74.006,12
40.71,-74.011,30
40.686,-73.974,1
40.714,-74.006,15
40.731,-73.988,22
40.758,-73.964,5
40.72,-73.979,17
40.8,-73.962,7
40.742,-74.002,1
40.743,-73.956,1
40.754,-73.967,6
40.706,-74.007,44
40.803,-73.967,10
40.764,-73.993,11
40.723,-74.004,16
40.743,-73.986,46
40.839,-73.942,2
40.743,-74.004,35
40.677,-73.959,1
40.792,-73.942,1
40.72,-73.993,23
40.654,-73.787,1
40.774,-73.948,18
40.747,-74.003,13
40.706,-74.01,36
40.806,-73.961,2
40.742,-73.992,14
40.733,-73.975,16
40.773,-73.961,13
40.731,-73.997,6
40.759,-73.993,31
40.815,-73.955,1
40.773,-73.986,10
40.772,-73.916,2
40.767,-73.961,5
40.711,-73.944,2
40.775,-73.949,2
40.761,-73.982,16
40.724,-73.991,34
40.715,-74.005,6
40.813,-73.956,5
40.757,-73.985,29
40.69,-73.973,3
40.647,-73.791,7
40.705,-74.006,8
40.775,-73.979,1
40.71,-73.964,7
40.752,-73.969,4
40.807,-73.964,7
40.685,-73.992,7
40.755,-73.982,14
40.8,-73.969,3
40.718,-73.957,2
40.712,-73.941,5
40.785,-73.978,4
40.717,-73.951,1
40.798,-73.929,1
40.768,-73.965,10
40.8,-73.966,9
40.73,-74.005,36
40.766,-73.988,13
40.695,-73.992,2
40.717,-73.995,19
40.701,-73.987,1
40.75,-74.008,2
40.781,-73.951,2
40.728,-73.996,5
40.728,-73.983,5
40.773,-73.876,7
40.729,-73.993,19
40.777,-73.95,20
40.73,-73.988,5
40.747,-73.982,56
40.691,-73.996,8
40.681,-73.999,2
40.747,-74.005,21
40.647,-73.783,3
40.746,-73.901,1
40.711,-73.983,1
40.798,-73.94,6
40.652,-73.786,1
40.685,-73.806,1
40.684,-73.987,1
40.646,-73.792,1
40.758,-73.997,5
40.767,-73.909,1
40.799,-73.961,5
40.823,-73.938,1
40.749,-73.969,17
40.764,-73.997,13
40.789,-73.941,2
40.801,-73.961,4
40.741,-73.977,6
40.711,-73.96,12
40.686,-73.991,8
40.804,-73.937,5
40.719,-74.0,11
40.814,-73.96,10
40.734,-73.985,2
40.72,-74.008,17
40.746,-73.997,2
40.801,-73.958,6
40.649,-73.803,1
40.742,-74.0,5
40.793,-73.966,1
40.766,-73.953,6
40.73,-73.98,20
40.779,-73.984,1
40.786,-73.942,5
40.741,-73.978,14
40.787,-73.977,19
40.727,-73.979,5
40.808,-73.961,4
40.792,-73.964,10
